dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,jitter_0,jitter_1,jitter_2,jitter_3,jitter_4,jitter,single_trial_correlation,cell_id
Dataset 05,920,[-0.47 -0.64],"[[ 0.   -0.04]
 [-0.    0.  ]]",[0.66 0.5 ],"[[0.03 0.06]
 [0.08 0.04]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.55],[0.1  0.31],"[[ 0.03 -0.01]
 [-0.15  0.05]]","[[-0.05 -0.16]
 [ 0.03 -0.02]]","[[ 0.03 -0.04]
 [ 0.1   0.05]]","[[ 0.01 -0.  ]
 [-0.   -0.04]]","[[-0.01 -0.01]
 [ 0.01 -0.05]]",[-0.05  0.05],[-0.05  0.05],[-0.02 -0.05],[-0.03 -0.05],[0.05 0.05],[0.04 0.05],0.19426371,LPE10885_2023_10_20_2_0305
Dataset 05,921,[-0.48 -0.64],"[[ 0.09 -0.07]
 [-0.03 -0.05]]",[0.65 0.51],"[[0.2  0.15]
 [0.1  0.06]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.55],[0.06 0.31],"[[ 0.48 -0.37]
 [ 0.01 -0.04]]","[[-0.04 -0.07]
 [ 0.08 -0.02]]","[[ 0.07  0.02]
 [-0.22 -0.16]]","[[-0.07  0.04]
 [-0.   -0.01]]","[[-0.01  0.  ]
 [-0.01 -0.01]]",[0.01 0.01],[ 0.05 -0.05],[-0.01 -0.02],[ 0.03 -0.  ],[ 0.05 -0.05],[0.02 0.03],0.49675176,LPE10885_2023_10_20_2_0312
Dataset 05,922,[-0.45 -0.64],"[[ 0.02  0.05]
 [ 0.   -0.02]]",[0.68 0.49],"[[0.04 0.07]
 [0.04 0.04]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.56 -0.56],[0.18 0.29],"[[ 0.02 -0.  ]
 [-0.04  0.01]]","[[-0.01  0.  ]
 [ 0.05 -0.04]]","[[ 0.03  0.18]
 [ 0.03 -0.08]]","[[ 0.09  0.08]
 [-0.01  0.03]]","[[-0.02 -0.02]
 [-0.02 -0.02]]",[-0.05  0.03],[-0.05  0.05],[-0.05 -0.05],[ 0.03 -0.05],[-0.05 -0.05],[0.03 0.05],0.113278456,LPE10885_2023_10_20_2_0313
Dataset 05,923,[-0.49 -0.66],"[[ 0.06  0.03]
 [-0.   -0.01]]",[0.66 0.49],"[[0.09 0.05]
 [0.04 0.03]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.62 -0.6 ],[-0.06  0.27],"[[ 0.02  0.01]
 [ 0.   -0.02]]","[[ 0.04  0.05]
 [ 0.07 -0.  ]]","[[ 0.24  0.11]
 [-0.05  0.02]]","[[ 0.   -0.04]
 [-0.01 -0.07]]","[[ 0.02  0.02]
 [-0.01 -0.  ]]",[-0.05 -0.05],[ 0.01 -0.05],[-0.05 -0.05],[-0.04 -0.05],[ 0.05 -0.02],[0.04 0.01],0.20760816,LPE10885_2023_10_20_2_0319
Dataset 05,924,[-0.47 -0.64],"[[-0.    0.11]
 [ 0.05 -0.03]]",[0.66 0.5 ],"[[0.05 0.1 ]
 [0.07 0.05]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.55 -0.56],[0.11 0.31],"[[ 0.03 -0.03]
 [ 0.01 -0.05]]","[[-0.01  0.14]
 [ 0.07 -0.  ]]","[[ 0.05  0.17]
 [ 0.17 -0.1 ]]","[[-0.09  0.23]
 [-0.01  0.04]]","[[ 0.    0.02]
 [-0.01 -0.01]]",[-0.05 -0.04],[-0.05 -0.04],[-0.05 -0.05],[ 0.05 -0.05],[-0.05 -0.05],[0.04 0.01],0.32468534,LPE10885_2023_10_20_2_0325
Dataset 05,925,[-0.4  -0.66],"[[-0.03  0.03]
 [ 0.05  0.05]]",[0.73 0.49],"[[0.06 0.06]
 [0.07 0.05]]",[-1. -1.],[-0.98 -0.95],[-1. -1.],[ 0.66 -0.63],[0.3  0.27],"[[ 0.02 -0.  ]
 [ 0.05  0.  ]]","[[-0.02 -0.02]
 [ 0.06  0.1 ]]","[[-0.15 -0.01]
 [ 0.17  0.13]]","[[-0.    0.14]
 [-0.03  0.05]]","[[ 0.02  0.02]
 [-0.01 -0.01]]",[-0.03 -0.05],[-0.05 -0.05],[-0.01  0.03],[-0.03 -0.05],[-0.05  0.02],[0.02 0.04],0.17559414,LPE10885_2023_10_20_2_0332
Dataset 05,926,[-0.42 -0.64],"[[-0.   -0.04]
 [-0.01 -0.02]]",[0.71 0.48],"[[0.09 0.05]
 [0.06 0.03]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.94],[ 0.56 -0.57],[0.32 0.28],"[[ 0.05 -0.03]
 [ 0.01  0.02]]","[[-0.16  0.03]
 [ 0.02  0.02]]","[[ 0.1  -0.11]
 [-0.13 -0.07]]","[[-0.01 -0.08]
 [ 0.03 -0.03]]","[[ 0.01  0.  ]
 [ 0.03 -0.01]]",[ 0.05 -0.05],[-0.05 -0.05],[-0.05 -0.04],[ 0.05 -0.05],[0.03 0.05],[0.05 0.04],0.08357371,LPE10885_2023_10_20_2_0337
Dataset 05,927,[-0.49 -0.66],"[[ 0.04 -0.  ]
 [-0.07 -0.06]]",[0.66 0.49],"[[0.08 0.07]
 [0.09 0.04]]",[-1. -1.],[-0.99 -0.98],[-1.   -0.99],[ 0.63 -0.61],[-0.1   0.27],"[[-0.   -0.01]
 [ 0.01 -0.01]]","[[-0.02  0.  ]
 [-0.16 -0.12]]","[[ 0.02  0.08]
 [-0.19 -0.01]]","[[ 0.19 -0.13]
 [-0.01 -0.09]]","[[ 0.01  0.04]
 [ 0.01 -0.08]]",[-0.05  0.03],[-0.01 -0.05],[ 0.05 -0.05],[0.05 0.05],[ 0.03 -0.05],[0.04 0.05],0.21097153,LPE10885_2023_10_20_2_0338
Dataset 05,928,[-0.4  -0.66],"[[ 0.02 -0.03]
 [ 0.01  0.03]]",[0.73 0.49],"[[0.14 0.05]
 [0.09 0.14]]",[-1. -1.],[-0.97 -0.95],[-1. -1.],[ 0.65 -0.62],[0.32 0.28],"[[-0.02 -0.02]
 [-0.02 -0.02]]","[[-0.14 -0.05]
 [ 0.15 -0.19]]","[[ 0.27 -0.12]
 [-0.13  0.23]]","[[-0.01  0.03]
 [-0.    0.13]]","[[ 0.01  0.02]
 [ 0.04 -0.01]]",[0.05 0.05],[0.01 0.05],[-0.05 -0.02],[-0.05 -0.05],[0.02 0.05],[0.04 0.04],0.12191271,LPE10885_2023_10_20_2_0343
Dataset 05,929,[-0.44 -0.65],"[[-0.06  0.05]
 [ 0.01 -0.02]]",[0.69 0.48],"[[0.06 0.08]
 [0.11 0.09]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.97],[ 0.57 -0.57],[0.22 0.26],"[[-0.    0.01]
 [-0.02 -0.02]]","[[-0.04  0.05]
 [-0.06 -0.08]]","[[-0.13 -0.03]
 [ 0.22 -0.14]]","[[-0.14  0.19]
 [-0.1   0.14]]","[[-0.01  0.03]
 [-0.01 -0.01]]",[-0.03  0.01],[-0.02 -0.01],[-0.05 -0.01],[ 0.05 -0.05],[-0.04 -0.04],[0.04 0.02],0.37047496,LPE10885_2023_10_20_2_0345
Dataset 05,930,[-0.41 -0.65],"[[ 0.02  0.01]
 [-0.07 -0.01]]",[0.72 0.49],"[[0.07 0.12]
 [0.12 0.05]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.98],[ 0.61 -0.59],[0.32 0.28],"[[-0.02  0.05]
 [-0.02  0.02]]","[[ 0.06  0.03]
 [-0.06  0.02]]","[[ 0.12 -0.19]
 [ 0.04 -0.12]]","[[-0.08  0.17]
 [-0.3   0.02]]","[[-0.    0.01]
 [ 0.   -0.01]]",[0.05 0.05],[-0.05 -0.05],[-0.05  0.02],[-0.02 -0.05],[0.05 0.04],[0.05 0.05],0.3865748,LPE10885_2023_10_20_2_0353
Dataset 05,931,[-0.5  -0.66],"[[-0.03 -0.04]
 [ 0.01 -0.02]]",[0.66 0.49],"[[0.08 0.1 ]
 [0.1  0.05]]",[-1. -1.],[-0.99 -0.98],[-1.   -0.99],[ 0.63 -0.61],[-0.16  0.27],"[[ 0.01  0.  ]
 [-0.02  0.04]]","[[-0.01 -0.21]
 [ 0.21  0.02]]","[[-0.   -0.11]
 [-0.04 -0.07]]","[[-0.18  0.06]
 [-0.08 -0.09]]","[[ 0.03  0.04]
 [-0.03 -0.02]]",[-0.05 -0.05],[-0.05  0.03],[ 0.01 -0.04],[ 0.03 -0.05],[-0.05  0.05],[0.03 0.04],0.08580502,LPE10885_2023_10_20_2_0354
Dataset 05,932,[-0.47 -0.64],"[[ 0.04 -0.  ]
 [ 0.04  0.02]]",[0.66 0.5 ],"[[0.1  0.05]
 [0.03 0.04]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.54 -0.56],[0.1  0.31],"[[-0.03 -0.02]
 [ 0.03 -0.03]]","[[-0.09  0.02]
 [ 0.03  0.04]]","[[ 0.07 -0.07]
 [ 0.09  0.06]]","[[0.2  0.08]
 [0.06 0.07]]","[[ 0.03 -0.01]
 [-0.   -0.02]]",[-0.05 -0.05],[-0.03  0.05],[ 0.02 -0.05],[ 0.05 -0.05],[-0.05  0.05],[0.04 0.05],0.56026614,LPE10885_2023_10_20_3_0000
Dataset 05,933,[-0.46 -0.64],"[[ 0.01 -0.  ]
 [-0.01 -0.01]]",[0.67 0.5 ],"[[0.07 0.03]
 [0.05 0.04]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.55 -0.56],[0.16 0.3 ],"[[ 0.01 -0.02]
 [-0.08 -0.02]]","[[ 0.02 -0.  ]
 [ 0.06  0.01]]","[[-0.12 -0.04]
 [-0.06 -0.09]]","[[0.11 0.06]
 [0.01 0.03]]","[[ 0.03 -0.02]
 [ 0.02 -0.  ]]",[0.01 0.05],[ 0.01 -0.05],[ 0.   -0.05],[ 0.02 -0.03],[ 0.05 -0.05],[0.02 0.04],0.4082785,LPE10885_2023_10_20_3_0001
Dataset 05,934,[-0.47 -0.64],"[[-0.01 -0.  ]
 [-0.04 -0.05]]",[0.66 0.51],"[[0.03 0.11]
 [0.06 0.08]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.55],[0.08 0.31],"[[-0.04 -0.05]
 [-0.03  0.02]]","[[-0.03  0.14]
 [-0.03 -0.2 ]]","[[ 0.04 -0.17]
 [-0.15 -0.07]]","[[-0.01  0.07]
 [-0.03  0.  ]]","[[0.02 0.  ]
 [0.03 0.01]]",[ 0.05 -0.05],[-0.05  0.05],[-0.05 -0.05],[-0.05  0.05],[ 0.05 -0.05],[0.05 0.05],0.28286088,LPE10885_2023_10_20_3_0002
Dataset 05,935,[-0.45 -0.64],"[[ 0.02  0.  ]
 [-0.01 -0.  ]]",[0.68 0.5 ],"[[0.04 0.09]
 [0.05 0.03]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.55 -0.56],[0.17 0.29],"[[-0.02  0.01]
 [-0.04  0.  ]]","[[ 0.07 -0.06]
 [-0.03 -0.04]]","[[ 0.04 -0.1 ]
 [ 0.08  0.04]]","[[ 0.04  0.16]
 [-0.06  0.  ]]","[[-0.01  0.01]
 [ 0.   -0.02]]",[-0.03 -0.04],[0.05 0.05],[ 0.05 -0.05],[-0.05  0.05],[ 0.05 -0.04],[0.05 0.05],0.40753463,LPE10885_2023_10_20_3_0003
Dataset 05,936,[-0.46 -0.65],"[[ 0.02 -0.03]
 [-0.03  0.01]]",[0.67 0.49],"[[0.06 0.07]
 [0.05 0.1 ]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.57 -0.57],[0.13 0.27],"[[ 0.04 -0.03]
 [-0.03  0.11]]","[[-0.04  0.06]
 [-0.13 -0.16]]","[[ 0.   -0.1 ]
 [-0.03  0.09]]","[[ 0.12 -0.13]
 [ 0.02  0.05]]","[[-0.01  0.02]
 [-0.01 -0.02]]",[0.01 0.05],[-0.05  0.05],[-0.01 -0.05],[-0.05  0.05],[0.05 0.05],[0.04 0.04],0.607852,LPE10885_2023_10_20_3_0004
Dataset 05,937,[-0.45 -0.64],"[[ 0.01 -0.08]
 [ 0.02 -0.05]]",[0.67 0.5 ],"[[0.06 0.07]
 [0.04 0.08]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.55 -0.56],[0.17 0.3 ],"[[-0.   -0.04]
 [ 0.06 -0.06]]","[[ 0.08 -0.03]
 [ 0.07 -0.19]]","[[-0.1  -0.18]
 [ 0.02  0.06]]","[[ 0.06 -0.15]
 [-0.04 -0.06]]","[[ 0.01  0.01]
 [-0.    0.  ]]",[-0.05  0.05],[-0.02 -0.03],[ 0.05 -0.04],[-0.02 -0.05],[0.05 0.05],[0.04 0.04],0.43142423,LPE10885_2023_10_20_3_0005
Dataset 05,938,[-0.46 -0.64],"[[ 0.04  0.04]
 [-0.02  0.02]]",[0.67 0.5 ],"[[0.08 0.06]
 [0.11 0.05]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.55 -0.56],[0.12 0.3 ],"[[-0.    0.06]
 [ 0.05 -0.04]]","[[0.19 0.02]
 [0.07 0.09]]","[[ 0.04  0.  ]
 [-0.22  0.08]]","[[-0.04  0.15]
 [-0.   -0.02]]","[[ 0.   -0.01]
 [-0.01 -0.02]]",[0.05 0.05],[-0.05 -0.05],[ 0.04 -0.05],[ 0.02 -0.03],[0.05 0.05],[0.04 0.05],0.52070135,LPE10885_2023_10_20_3_0006
Dataset 05,939,[-0.46 -0.64],"[[-0.02  0.04]
 [ 0.02  0.02]]",[0.67 0.5 ],"[[0.02 0.04]
 [0.03 0.07]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.55 -0.56],[0.15 0.3 ],"[[-0.01  0.01]
 [ 0.01 -0.01]]","[[-0.06  0.02]
 [ 0.06  0.15]]","[[-0.01  0.09]
 [ 0.05 -0.03]]","[[-0.01  0.06]
 [-0.01 -0.03]]","[[ 0.   -0.  ]
 [ 0.01  0.02]]",[0. 0.],[-0.05  0.05],[-0.05 -0.04],[-0.05  0.02],[ 0.05 -0.05],[0.04 0.04],0.500336,LPE10885_2023_10_20_3_0007
Dataset 05,940,[-0.47 -0.64],"[[ 0.06  0.01]
 [-0.02  0.02]]",[0.66 0.5 ],"[[0.15 0.04]
 [0.04 0.1 ]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.55],[0.09 0.31],"[[ 0.07 -0.06]
 [-0.06  0.  ]]","[[-0.07  0.03]
 [ 0.05  0.07]]","[[-0.05  0.03]
 [-0.06  0.14]]","[[ 0.34  0.04]
 [-0.01 -0.15]]","[[ 0.   -0.01]
 [-0.    0.01]]",[ 0.05 -0.05],[-0.02  0.05],[-0.05  0.05],[ 0.   -0.05],[-0.01  0.05],[0.03 0.05],0.44670245,LPE10885_2023_10_20_3_0008
Dataset 05,941,[-0.43 -0.67],"[[-0.02  0.01]
 [ 0.02 -0.03]]",[0.71 0.48],"[[0.09 0.06]
 [0.04 0.05]]",[-1. -1.],[-0.98 -0.96],[-1. -1.],[ 0.65 -0.62],[0.2  0.25],"[[ 0.01  0.04]
 [ 0.03 -0.03]]","[[-0.16 -0.08]
 [ 0.1  -0.12]]","[[-0.07  0.1 ]
 [-0.01 -0.01]]","[[ 0.11 -0.01]
 [-0.01 -0.01]]","[[0.02 0.02]
 [0.   0.03]]",[-0.05  0.05],[-0.05 -0.05],[ 0.02 -0.01],[ 0.05 -0.05],[ 0.02 -0.05],[0.04 0.04],0.40182716,LPE10885_2023_10_20_3_0009
Dataset 05,942,[-0.42 -0.64],"[[-0.05  0.04]
 [-0.02 -0.01]]",[0.71 0.48],"[[0.05 0.05]
 [0.03 0.01]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.94],[ 0.58 -0.57],[0.32 0.28],"[[ 0.01 -0.02]
 [ 0.02 -0.  ]]","[[-0.07  0.05]
 [ 0.   -0.01]]","[[-0.05  0.12]
 [-0.01 -0.03]]","[[-0.12  0.02]
 [-0.08  0.  ]]","[[-0.02  0.02]
 [-0.04  0.01]]",[-0.05 -0.02],[ 0.05 -0.05],[-0.05  0.05],[-0.03  0.05],[-0.01  0.05],[0.04 0.04],0.2915775,LPE10885_2023_10_20_3_0010
Dataset 05,943,[-0.47 -0.64],"[[-0.   -0.04]
 [ 0.01  0.01]]",[0.66 0.5 ],"[[0.09 0.04]
 [0.04 0.03]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.55],[0.1  0.31],"[[-0.02  0.02]
 [-0.02 -0.03]]","[[-0.14 -0.07]
 [-0.04  0.05]]","[[ 0.01 -0.05]
 [ 0.04  0.01]]","[[ 0.15 -0.08]
 [ 0.05  0.  ]]","[[-0.02 -0.02]
 [ 0.03  0.04]]",[-0.03  0.05],[ 0.05 -0.05],[-0.04  0.05],[ 0.05 -0.04],[0.05 0.05],[0.04 0.05],0.46507636,LPE10885_2023_10_20_3_0011
Dataset 05,944,[-0.42 -0.64],"[[-0.03 -0.05]
 [ 0.03  0.03]]",[0.71 0.49],"[[0.13 0.04]
 [0.09 0.07]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.96],[ 0.56 -0.57],[0.32 0.28],"[[-0.02 -0.01]
 [-0.02  0.01]]","[[-0.12 -0.06]
 [ 0.01  0.17]]","[[-0.19 -0.07]
 [ 0.2   0.03]]","[[ 0.19 -0.12]
 [-0.02 -0.01]]","[[-0.    0.  ]
 [-0.02 -0.04]]",[ 0.02 -0.05],[ 0.05 -0.05],[-0.05  0.05],[ 0.05 -0.04],[-0.05 -0.05],[0.05 0.04],0.5673105,LPE10885_2023_10_20_3_0012
Dataset 05,945,[-0.47 -0.64],"[[ 0.04  0.03]
 [ 0.07 -0.02]]",[0.66 0.5 ],"[[0.07 0.08]
 [0.08 0.03]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.55],[0.1  0.31],"[[ 0.   -0.03]
 [ 0.05 -0.02]]","[[ 0.05 -0.05]
 [-0.   -0.04]]","[[-0.05  0.03]
 [ 0.22 -0.06]]","[[0.16 0.19]
 [0.05 0.01]]","[[ 0.02  0.01]
 [ 0.04 -0.  ]]",[-0.05 -0.05],[ 0.05 -0.01],[-0.02 -0.05],[-0.01 -0.03],[0.05 0.05],[0.04 0.04],0.5464548,LPE10885_2023_10_20_3_0013
Dataset 05,946,[-0.48 -0.64],"[[ 0.15 -0.01]
 [ 0.12 -0.01]]",[0.65 0.51],"[[0.27 0.09]
 [0.25 0.05]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.55],[0.05 0.32],"[[0.68 0.13]
 [0.61 0.03]]","[[-0.02 -0.02]
 [-0.06 -0.04]]","[[ 0.12 -0.15]
 [-0.02 -0.09]]","[[-0.05 -0.02]
 [ 0.07  0.04]]","[[ 0.    0.01]
 [-0.    0.01]]",[0.05 0.05],[ 0.05 -0.05],[0.05 0.01],[-0.05  0.05],[ 0.05 -0.05],[0.04 0.05],0.65553033,LPE10885_2023_10_20_3_0014
Dataset 05,947,[-0.49 -0.66],"[[ 0.02 -0.02]
 [ 0.01  0.05]]",[0.66 0.49],"[[0.04 0.04]
 [0.03 0.08]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.62 -0.6 ],[-0.08  0.27],"[[ 0.01  0.02]
 [-0.   -0.02]]","[[-0.04 -0.04]
 [-0.03 -0.01]]","[[ 0.04 -0.09]
 [ 0.05  0.17]]","[[0.07 0.04]
 [0.03 0.12]]","[[ 0.01 -0.  ]
 [ 0.    0.  ]]",[-0.05  0.03],[0.05 0.05],[-0.05 -0.04],[-0.02  0.05],[-0.04 -0.01],[0.04 0.04],0.5772023,LPE10885_2023_10_20_3_0015
Dataset 05,948,[-0.47 -0.64],"[[ 0.01  0.01]
 [-0.01  0.04]]",[0.66 0.5 ],"[[0.15 0.09]
 [0.1  0.05]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.56],[0.08 0.31],"[[ 0.   -0.  ]
 [-0.01 -0.01]]","[[-0.25 -0.07]
 [ 0.07  0.  ]]","[[ 0.13 -0.04]
 [-0.19  0.13]]","[[0.18 0.17]
 [0.06 0.07]]","[[0.   0.01]
 [0.02 0.01]]",[-0.05  0.02],[0.05 0.02],[ 0.01 -0.05],[ 0.05 -0.04],[-0.05 -0.05],[0.05 0.03],0.2991233,LPE10885_2023_10_20_3_0016
Dataset 05,949,[-0.47 -0.64],"[[-0.24 -0.03]
 [-0.06 -0.  ]]",[0.66 0.51],"[[0.38 0.08]
 [0.06 0.07]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.55],[0.08 0.31],"[[-0.98 -0.11]
 [-0.06  0.02]]","[[-0.03 -0.14]
 [-0.02  0.05]]","[[-0.19 -0.02]
 [-0.17 -0.14]]","[[ 0.03  0.05]
 [-0.08  0.04]]","[[-0.01  0.04]
 [ 0.01  0.01]]",[ 0.05 -0.05],[-0.05 -0.05],[-0.05  0.02],[-0.05  0.04],[0.05 0.05],[0.05 0.04],0.23460443,LPE10885_2023_10_20_3_0017
Dataset 05,950,[-0.42 -0.64],"[[ 0.01  0.05]
 [-0.02  0.01]]",[0.71 0.48],"[[0.02 0.08]
 [0.02 0.07]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.94],[ 0.57 -0.57],[0.32 0.28],"[[0.04 0.04]
 [0.   0.08]]","[[ 0.   -0.06]
 [-0.06 -0.  ]]","[[ 0.02  0.1 ]
 [-0.03  0.04]]","[[-0.02  0.17]
 [-0.01 -0.12]]","[[0.   0.01]
 [0.   0.03]]",[0.05 0.05],[-0.03  0.05],[ 0.01 -0.01],[-0.05 -0.01],[-0.05 -0.04],[0.04 0.04],0.19110124,LPE10885_2023_10_20_3_0018
Dataset 05,951,[-0.47 -0.64],"[[-0.08  0.02]
 [ 0.01 -0.  ]]",[0.66 0.5 ],"[[0.06 0.11]
 [0.03 0.03]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.56],[0.09 0.31],"[[ 0.01  0.02]
 [-0.    0.02]]","[[-0.13  0.07]
 [-0.02 -0.06]]","[[-0.11  0.19]
 [ 0.01  0.03]]","[[-0.15 -0.15]
 [ 0.06 -0.01]]","[[-0.02 -0.03]
 [-0.01 -0.  ]]",[-0.05 -0.05],[0.05 0.05],[-0.05  0.05],[0.04 0.05],[-0.05  0.05],[0.05 0.04],0.41723874,LPE10885_2023_10_20_3_0019
Dataset 05,952,[-0.42 -0.64],"[[-0.01  0.02]
 [-0.06 -0.04]]",[0.71 0.48],"[[0.03 0.06]
 [0.08 0.09]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.94],[ 0.57 -0.57],[0.32 0.28],"[[-0.03 -0.04]
 [-0.   -0.1 ]]","[[ 0.02 -0.03]
 [-0.17  0.12]]","[[ 0.02  0.02]
 [-0.13 -0.08]]","[[-0.05  0.14]
 [ 0.   -0.12]]","[[-0.01 -0.01]
 [ 0.01  0.  ]]",[ 0.05 -0.05],[0.03 0.04],[-0.   -0.05],[-0.01 -0.  ],[0.05 0.05],[0.02 0.04],0.07839868,LPE10885_2023_10_20_3_0020
Dataset 05,953,[-0.47 -0.64],"[[ 0.09  0.11]
 [-0.02 -0.01]]",[0.66 0.5 ],"[[0.11 0.22]
 [0.07 0.09]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.54 -0.55],[0.11 0.31],"[[ 0.04  0.54]
 [-0.   -0.12]]","[[-0.03  0.04]
 [-0.1  -0.04]]","[[ 0.1   0.05]
 [ 0.03 -0.08]]","[[ 0.3  -0.06]
 [ 0.07  0.04]]","[[ 0.04 -0.02]
 [-0.09  0.13]]",[-0.05  0.05],[ 0.04 -0.05],[ 0.04 -0.05],[ 0.05 -0.05],[0.04 0.05],[0.04 0.05],0.35697085,LPE10885_2023_10_20_3_0021
Dataset 05,954,[-0.46 -0.64],"[[-0.03 -0.02]
 [ 0.03 -0.01]]",[0.66 0.5 ],"[[0.04 0.05]
 [0.08 0.02]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.54 -0.55],[0.13 0.3 ],"[[-0.06 -0.02]
 [ 0.01 -0.04]]","[[-0.05 -0.1 ]
 [ 0.07  0.  ]]","[[-0.07  0.  ]
 [ 0.16 -0.01]]","[[ 0.04  0.06]
 [-0.08 -0.02]]","[[-0.01 -0.03]
 [-0.01  0.01]]",[ 0.05 -0.05],[-0.05 -0.05],[-0.05  0.05],[-0.05 -0.05],[-0.05  0.  ],[0.04 0.04],0.4598996,LPE10885_2023_10_20_3_0022
Dataset 05,955,[-0.45 -0.64],"[[ 0.05 -0.04]
 [ 0.05 -0.01]]",[0.68 0.49],"[[0.05 0.06]
 [0.06 0.1 ]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.55 -0.56],[0.17 0.29],"[[ 0.02 -0.01]
 [ 0.06 -0.09]]","[[ 0.04 -0.03]
 [ 0.05  0.17]]","[[ 0.12 -0.01]
 [ 0.16 -0.03]]","[[ 0.08 -0.16]
 [-0.02 -0.1 ]]","[[-0.01 -0.01]
 [-0.   -0.01]]",[-0.05 -0.05],[ 0.05 -0.05],[ 0.05 -0.05],[ 0.04 -0.05],[-0.05 -0.05],[0.05 0.  ],0.36911508,LPE10885_2023_10_20_3_0023
Dataset 05,956,[-0.42 -0.64],"[[ 0.01 -0.02]
 [-0.03  0.  ]]",[0.71 0.48],"[[0.05 0.02]
 [0.1  0.1 ]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.95],[ 0.56 -0.56],[0.32 0.28],"[[ 0.04  0.02]
 [-0.14 -0.07]]","[[ 0.04 -0.01]
 [ 0.13 -0.09]]","[[ 0.05 -0.02]
 [-0.13  0.19]]","[[-0.07 -0.04]
 [-0.01 -0.02]]","[[-0.   -0.04]
 [ 0.01  0.01]]",[0.05 0.05],[-0.05 -0.05],[ 0.05 -0.05],[-0.02  0.05],[0.02 0.05],[0.04 0.05],0.2610668,LPE10885_2023_10_20_3_0025
Dataset 05,957,[-0.46 -0.64],"[[ 0.02  0.01]
 [-0.05  0.02]]",[0.67 0.5 ],"[[0.04 0.07]
 [0.04 0.04]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.55 -0.56],[0.13 0.3 ],"[[ 0.05 -0.02]
 [-0.01  0.05]]","[[ 0.06  0.12]
 [-0.07  0.07]]","[[-0.06 -0.09]
 [-0.12  0.05]]","[[ 0.01  0.03]
 [-0.05 -0.04]]","[[ 0.04 -0.01]
 [-0.01 -0.02]]",[ 0.05 -0.05],[0.05 0.05],[ 0.04 -0.05],[-0.05  0.05],[-0.05  0.01],[0.05 0.05],0.50487477,LPE10885_2023_10_20_3_0026
Dataset 05,958,[-0.47 -0.64],"[[-0.02 -0.01]
 [-0.01 -0.06]]",[0.66 0.5 ],"[[0.08 0.05]
 [0.04 0.06]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.55],[0.12 0.31],"[[-0.03 -0.05]
 [-0.08 -0.03]]","[[ 0.03  0.08]
 [ 0.02 -0.17]]","[[-0.15  0.01]
 [ 0.01 -0.01]]","[[ 0.09 -0.03]
 [ 0.04 -0.04]]","[[-0.04 -0.07]
 [-0.01 -0.04]]",[ 0.05 -0.05],[-0.05 -0.05],[ 0.   -0.05],[ 0.05 -0.05],[0.05 0.01],[0.04 0.03],0.42926812,LPE10885_2023_10_20_3_0027
