dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,jitter_0,loc_0,jitter_1,loc_1,jitter_2,loc_2,jitter_3,loc_3,jitter_4,loc_4,jitter,loc,jitter_std,loc_std,single_trial_correlation,cell_id
Dataset 05,2633,[-0.17  0.57],"[[0.02 0.09]
 [0.05 0.09]]",[0.73 0.34],"[[0.08 0.08]
 [0.12 0.12]]",[-0.87  0.77],[-0.48  0.53],[1. 1.],[0.35 0.56],[-0.84 -0.02],"[[0.14 0.2 ]
 [0.29 0.28]]","[[-0.1   0.15]
 [-0.02  0.18]]","[[-0.01  0.01]
 [-0.   -0.  ]]","[[ 0.08  0.09]
 [-0.02 -0.02]]","[[-0.    0.  ]
 [ 0.01  0.  ]]",[-0.04  0.05],[-0.91  0.82],[-0.05  0.01],[-0.53  0.54],[-0.05 -0.05],[0.95 0.95],[0.05 0.05],[0.4  0.61],[0.04 0.04],[-0.8   0.02],[-0.01  0.02],[-0.18  0.59],[0.05 0.04],[0.73 0.32],0.73429483,LPE10885_2023_10_20_7_0368
Dataset 05,2634,[-0.13  0.6 ],"[[ 0.04 -0.01]
 [ 0.03 -0.06]]",[0.7  0.31],"[[0.05 0.07]
 [0.08 0.07]]",[-0.93  0.84],[-0.47  0.5 ],[1. 1.],[0.34 0.55],[-0.57  0.1 ],"[[ 0.02 -0.11]
 [-0.07 -0.02]]","[[ 0.13 -0.04]
 [ 0.18 -0.18]]","[[ 0. -0.]
 [ 0. -0.]]","[[ 0.04  0.1 ]
 [ 0.04 -0.1 ]]","[[-0. -0.]
 [-0. -0.]]",[-0.05  0.05],[-0.99  0.89],[-0.04  0.03],[-0.51  0.53],[ 0.   -0.04],[1.   0.96],[0.05 0.05],[0.39 0.6 ],[0.   0.05],[-0.57  0.15],[-0.01  0.03],[-0.14  0.63],[0.04 0.03],[0.72 0.29],0.39336333,LPE10885_2023_10_20_7_0369
Dataset 05,2635,[-0.13  0.6 ],"[[-0.01 -0.02]
 [ 0.04  0.03]]",[0.7  0.31],"[[0.06 0.14]
 [0.06 0.1 ]]",[-0.93  0.84],[-0.47  0.5 ],[1. 1.],[0.34 0.55],[-0.59  0.09],"[[0.   0.21]
 [0.15 0.21]]","[[-0.12 -0.22]
 [ 0.08  0.  ]]","[[-0.   -0.  ]
 [ 0.02  0.01]]","[[ 0.07 -0.11]
 [-0.03 -0.1 ]]","[[-0.01  0.  ]
 [-0.01  0.  ]]",[-0.05  0.05],[-0.98  0.89],[ 0.03 -0.03],[-0.44  0.47],[ 0.02 -0.05],[1.02 0.95],[ 0.   -0.01],[0.34 0.54],[-0.02 -0.05],[-0.6   0.04],[-0.   -0.02],[-0.13  0.58],[0.03 0.04],[0.72 0.33],0.34956902,LPE10885_2023_10_20_7_0370
Dataset 05,2636,[-0.21  0.62],"[[ 0.03 -0.01]
 [ 0.01 -0.04]]",[0.77 0.31],"[[0.09 0.08]
 [0.07 0.05]]",[-0.95  0.87],[-0.49  0.54],[1. 1.],[0.35 0.61],[-0.97  0.09],"[[ 0.2   0.07]
 [ 0.01 -0.03]]","[[-0.04 -0.16]
 [-0.11 -0.05]]","[[ 0.03 -0.02]
 [ 0.03 -0.02]]","[[-0.07  0.06]
 [ 0.12 -0.13]]","[[ 0.01 -0.  ]
 [-0.    0.01]]",[-0.05  0.05],[-1.01  0.92],[ 0.04 -0.02],[-0.45  0.52],[-0.05 -0.03],[0.95 0.97],[0.05 0.04],[0.4  0.65],[ 0.05 -0.05],[-0.92  0.04],[ 0.01 -0.  ],[-0.2   0.62],[0.05 0.04],[0.76 0.33],0.23076788,LPE10885_2023_10_20_7_0371
Dataset 05,2637,[-0.2   0.58],"[[ 0.05  0.04]
 [ 0.06 -0.05]]",[0.76 0.33],"[[0.13 0.03]
 [0.07 0.04]]",[-0.85  0.74],[-0.5   0.56],[1. 1.],[0.35 0.58],[-1.  0.],"[[ 0.17  0.1 ]
 [ 0.16 -0.07]]","[[ 0.21  0.04]
 [-0.02 -0.04]]","[[-0.01  0.  ]
 [-0.   -0.03]]","[[-0.16  0.03]
 [ 0.14 -0.11]]","[[ 0.01  0.01]
 [ 0.01 -0.  ]]",[-0.02  0.01],[-0.86  0.75],[-0.04  0.04],[-0.54  0.6 ],[-0.03 -0.05],[0.97 0.95],[0.05 0.05],[0.4  0.63],[ 0.04 -0.05],[-0.96 -0.05],[ 0. -0.],[-0.2   0.58],[0.04 0.04],[0.76 0.34],0.25133824,LPE10885_2023_10_20_7_0372
Dataset 05,2638,[-0.13  0.65],"[[-0.01  0.01]
 [-0.02  0.01]]",[0.71 0.28],"[[0.07 0.05]
 [0.05 0.02]]",[-0.99  0.94],[-0.47  0.51],[1. 1.],[0.35 0.58],[-0.52  0.24],"[[ 0.06  0.11]
 [-0.1   0.01]]","[[-0.15 -0.03]
 [ 0.04  0.05]]","[[ 0. -0.]
 [-0.  0.]]","[[ 0.04 -0.01]
 [-0.02  0.01]]","[[ 0.   -0.  ]
 [-0.   -0.01]]",[-0.01 -0.04],[-1.    0.91],[0.05 0.01],[-0.43  0.52],[0.03 0.05],[1.03 1.05],[-0.03 -0.02],[0.32 0.56],[ 0.05 -0.04],[-0.47  0.2 ],[ 0.02 -0.01],[-0.11  0.65],[0.03 0.03],[0.71 0.3 ],0.40496492,LPE10885_2023_10_20_7_0373
Dataset 05,2639,[-0.2   0.59],"[[ 0.04 -0.03]
 [-0.05  0.02]]",[0.76 0.32],"[[0.19 0.06]
 [0.07 0.09]]",[-0.87  0.76],[-0.5   0.57],[1. 1.],[0.35 0.6 ],[-1.    0.04],"[[-0.25  0.01]
 [-0.17  0.04]]","[[ 0.31 -0.04]
 [ 0.01 -0.13]]","[[-0.02  0.03]
 [-0.01  0.01]]","[[ 0.16 -0.13]
 [-0.06  0.15]]","[[ 0.   -0.01]
 [ 0.    0.  ]]",[-0.02  0.05],[-0.89  0.82],[-0.05  0.05],[-0.56  0.61],[-0.05  0.01],[0.95 1.01],[0.04 0.04],[0.39 0.64],[-0.05 -0.05],[-1.05 -0.01],[-0.03  0.02],[-0.23  0.61],[0.04 0.04],[0.77 0.35],0.26733294,LPE10885_2023_10_20_7_0374
Dataset 05,2640,[-0.19  0.67],"[[-0.02  0.02]
 [-0.   -0.05]]",[0.75 0.29],"[[0.1  0.04]
 [0.12 0.04]]",[-1.    0.97],[-0.5   0.55],[1. 1.],[0.36 0.63],[-0.79  0.23],"[[ 0.09 -0.02]
 [ 0.   -0.12]]","[[ 0.01  0.05]
 [-0.19 -0.06]]","[[ 0.01 -0.  ]
 [ 0.    0.  ]]","[[-0.22  0.08]
 [ 0.18 -0.05]]","[[-0.  0.]
 [-0. -0.]]",[-0.05  0.05],[-1.04  1.02],[-0.04  0.05],[-0.54  0.61],[-0.05  0.05],[0.95 1.05],[0.04 0.04],[0.4  0.67],[0.02 0.05],[-0.77  0.28],[-0.02  0.05],[-0.2   0.73],[0.04 0.  ],[0.75 0.29],0.7757236,LPE10885_2023_10_20_7_0375
Dataset 05,2641,[-0.12  0.63],"[[0.01 0.1 ]
 [0.04 0.02]]",[0.7  0.29],"[[0.05 0.08]
 [0.04 0.1 ]]",[-0.98  0.91],[-0.47  0.49],[1. 1.],[0.34 0.57],[-0.51  0.19],"[[0.02 0.14]
 [0.03 0.  ]]","[[0.08 0.16]
 [0.08 0.2 ]]","[[ 0.   -0.  ]
 [ 0.    0.01]]","[[-0.07  0.19]
 [ 0.11 -0.11]]","[[-0. -0.]
 [ 0.  0.]]",[-0.05 -0.02],[-1.03  0.89],[-0.05  0.05],[-0.52  0.54],[ 0.   -0.03],[1.   0.97],[0.01 0.04],[0.36 0.6 ],[ 0.04 -0.05],[-0.47  0.14],[-0.01 -0.  ],[-0.13  0.63],[0.04 0.04],[0.72 0.3 ],0.3740742,LPE10885_2023_10_20_7_0376
Dataset 05,2642,[-0.2   0.58],"[[0.01 0.07]
 [0.   0.02]]",[0.76 0.32],"[[0.07 0.11]
 [0.06 0.11]]",[-0.84  0.74],[-0.5   0.56],[1. 1.],[0.35 0.59],[-1.    0.03],"[[ 0.01  0.21]
 [-0.    0.15]]","[[ 0.11  0.19]
 [-0.07 -0.16]]","[[ 0.01 -0.  ]
 [-0.02  0.  ]]","[[-0.1  -0.05]
 [ 0.11  0.12]]","[[ 0.    0.01]
 [ 0.   -0.  ]]",[-0.05  0.05],[-0.89  0.79],[0.02 0.04],[-0.48  0.59],[-0.05 -0.02],[0.95 0.98],[0.04 0.05],[0.39 0.64],[-0.04  0.03],[-1.04  0.06],[-0.02  0.03],[-0.21  0.61],[0.04 0.03],[0.77 0.31],0.2722243,LPE10885_2023_10_20_7_0377
Dataset 05,2643,[-0.21  0.65],"[[-0.   -0.  ]
 [-0.01 -0.02]]",[0.77 0.31],"[[0.12 0.01]
 [0.03 0.06]]",[-0.99  0.94],[-0.49  0.54],[1. 1.],[0.36 0.63],[-0.93  0.13],"[[-0.22 -0.02]
 [-0.05 -0.13]]","[[ 0.12 -0.01]
 [ 0.03  0.05]]","[[ 0.03  0.  ]
 [ 0.01 -0.01]]","[[ 0.06 -0.  ]
 [-0.05 -0.02]]","[[-0.  0.]
 [-0.  0.]]",[-0.05 -0.02],[-1.04  0.91],[-0.05  0.01],[-0.54  0.56],[-0.05  0.05],[0.95 1.05],[0.04 0.02],[0.4  0.65],[ 0.03 -0.03],[-0.9  0.1],[-0.02  0.01],[-0.23  0.65],[0.04 0.03],[0.77 0.33],0.56258196,LPE10885_2023_10_20_7_0378
Dataset 05,2644,[-0.19  0.61],"[[-0.17  0.32]
 [-0.04  0.04]]",[0.75 0.41],"[[0.41 0.57]
 [0.05 0.09]]",[-0.99  0.96],[-0.51  0.58],[1. 1.],[0.37 0.64],[-0.79 -0.13],"[[-0.12 -0.15]
 [-0.13  0.02]]","[[ 0.13  0.26]
 [-0.06  0.2 ]]","[[ 0.   -0.  ]
 [-0.01  0.03]]","[[ 0.13  0.06]
 [ 0.02 -0.08]]","[[-0.97  1.43]
 [-0.01  0.02]]",[-0.04  0.05],[-1.03  1.01],[-0.04  0.04],[-0.56  0.62],[-0.05 -0.05],[0.95 0.95],[0.04 0.05],[0.4  0.69],[0.05 0.04],[-0.74 -0.09],[-0.01  0.03],[-0.19  0.64],[0.04 0.04],[0.75 0.39],0.26769492,LPE10885_2023_10_20_7_0379
Dataset 05,2645,[-0.13  0.62],"[[ 0.01  0.  ]
 [-0.    0.  ]]",[0.71 0.3 ],"[[0.06 0.08]
 [0.06 0.06]]",[-0.96  0.87],[-0.47  0.49],[1. 1.],[0.34 0.57],[-0.57  0.16],"[[-0.1  -0.01]
 [ 0.06  0.09]]","[[0.05 0.14]
 [0.03 0.02]]","[[-0.   -0.  ]
 [ 0.01  0.01]]","[[ 0.07 -0.1 ]
 [-0.1  -0.1 ]]","[[ 0.  0.]
 [-0. -0.]]",[-0.01  0.01],[-0.97  0.88],[-0.05  0.02],[-0.52  0.51],[0.   0.01],[1.   1.01],[0.04 0.04],[0.38 0.61],[-0.02  0.04],[-0.6  0.2],[-0.01  0.02],[-0.14  0.64],[0.03 0.02],[0.72 0.28],0.529207,LPE10885_2023_10_20_7_0380
Dataset 05,2646,[-0.12  0.62],"[[ 0.    0.  ]
 [ 0.01 -0.04]]",[0.7  0.35],"[[0.04 0.06]
 [0.04 0.05]]",[-0.98  0.94],[-0.49  0.54],[1. 1.],[0.35 0.58],[-0.47  0.03],"[[ 0.07 -0.07]
 [ 0.05 -0.11]]","[[-0.06 -0.04]
 [-0.04  0.02]]","[[ 0.    0.01]
 [-0.02 -0.04]]","[[-0.01  0.11]
 [ 0.05 -0.09]]","[[-0.   -0.  ]
 [ 0.01  0.01]]",[-0.05  0.05],[-1.04  0.99],[-0.04 -0.03],[-0.54  0.51],[ 0.05 -0.05],[1.05 0.95],[0.05 0.03],[0.39 0.61],[ 0.05 -0.05],[-0.41 -0.03],[ 0.01 -0.01],[-0.11  0.61],[0.05 0.04],[0.74 0.37],0.5414057,LPE10885_2023_10_20_7_0381
Dataset 05,2647,[-0.08  0.64],"[[-0.04  0.08]
 [ 0.    0.01]]",[0.69 0.31],"[[0.11 0.1 ]
 [0.14 0.1 ]]",[-0.99  0.95],[-0.49  0.53],[1. 1.],[0.34 0.55],[-0.28  0.16],"[[-0.2   0.1 ]
 [-0.25 -0.15]]","[[0.12 0.27]
 [0.07 0.16]]","[[ 0.  0.]
 [-0. -0.]]","[[-0.13  0.02]
 [ 0.19  0.06]]","[[-0.01  0.  ]
 [-0.    0.  ]]",[-0.05  0.05],[-1.04  0.99],[0.05 0.03],[-0.44  0.56],[0.05 0.05],[1.05 1.05],[0.05 0.05],[0.39 0.6 ],[0.04 0.03],[-0.24  0.19],[0.03 0.04],[-0.06  0.68],[0.04 0.01],[0.72 0.31],0.5101546,LPE10885_2023_10_20_7_0383
Dataset 05,2648,[-0.21  0.6 ],"[[ 0.   -0.02]
 [-0.    0.  ]]",[0.77 0.32],"[[0.02 0.05]
 [0.03 0.05]]",[-0.89  0.78],[-0.5   0.56],[1. 1.],[0.35 0.6 ],[-1.    0.05],"[[-0.   -0.01]
 [ 0.05  0.05]]","[[-0.02 -0.09]
 [-0.02  0.05]]","[[-0.   -0.04]
 [ 0.   -0.01]]","[[ 0.04  0.05]
 [-0.04 -0.08]]","[[ 0. -0.]
 [ 0.  0.]]",[0.05 0.05],[-0.83  0.83],[0.05 0.03],[-0.45  0.59],[-0.05 -0.01],[0.95 0.99],[0.05 0.05],[0.4  0.65],[-0.05  0.05],[-1.05  0.09],[0.01 0.03],[-0.2   0.63],[0.05 0.02],[0.76 0.3 ],0.4908124,LPE10885_2023_10_20_7_0384
Dataset 05,2649,[-0.2   0.58],"[[ 0.04  0.05]
 [ 0.03 -0.01]]",[0.76 0.32],"[[0.05 0.05]
 [0.09 0.09]]",[-0.85  0.75],[-0.49  0.55],[1. 1.],[0.35 0.58],[-1.    0.04],"[[ 0.04  0.09]
 [ 0.13 -0.07]]","[[0.14 0.07]
 [0.11 0.14]]","[[ 0.01  0.  ]
 [ 0.01 -0.  ]]","[[ 0.02  0.12]
 [-0.11 -0.14]]","[[-0.01 -0.02]
 [-0.01  0.01]]",[-0.01 -0.  ],[-0.86  0.74],[-0.04  0.05],[-0.53  0.6 ],[ 0.05 -0.05],[1.05 0.95],[0.05 0.03],[0.4  0.61],[ 0.05 -0.05],[-0.95 -0.01],[ 0.02 -0.  ],[-0.18  0.58],[0.04 0.04],[0.78 0.32],0.11891279,LPE10885_2023_10_20_7_0385
Dataset 05,2650,[-0.13  0.72],"[[ 0.08 -0.09]
 [-0.02  0.01]]",[0.71 0.24],"[[0.2  0.09]
 [0.16 0.09]]",[-1.    0.99],[-0.51  0.58],[1. 1.],[0.36 0.62],[-0.49  0.42],"[[-0.19 -0.05]
 [-0.12 -0.08]]","[[ 0.39 -0.2 ]
 [ 0.25 -0.05]]","[[-0.  0.]
 [ 0. -0.]]","[[ 0.18 -0.2 ]
 [-0.24  0.18]]","[[-0.01  0.  ]
 [ 0.    0.  ]]",[-0.04  0.03],[-1.04  1.02],[-0.05  0.04],[-0.56  0.62],[0.05 0.05],[1.05 1.05],[0.05 0.05],[0.4  0.67],[-0.03 -0.05],[-0.52  0.37],[-0.    0.03],[-0.13  0.75],[0.04 0.04],[0.75 0.26],0.45960316,LPE10885_2023_10_20_7_0386
Dataset 05,2651,[-0.18  0.58],"[[-0.05  0.02]
 [-0.02  0.06]]",[0.74 0.36],"[[0.04 0.04]
 [0.03 0.07]]",[-0.93  0.84],[-0.49  0.54],[1. 1.],[0.35 0.58],[-0.83 -0.05],"[[-0.12  0.02]
 [-0.07  0.18]]","[[-0.05 -0.01]
 [-0.03  0.05]]","[[-0.02  0.  ]
 [-0.01  0.03]]","[[-0.07  0.1 ]
 [ 0.04  0.02]]","[[ 0.   -0.  ]
 [-0.01 -0.01]]",[-0.05  0.05],[-0.98  0.89],[-0.04  0.05],[-0.53  0.59],[-0.05 -0.05],[0.95 0.95],[0.05 0.05],[0.4  0.63],[-0.05 -0.03],[-0.88 -0.07],[-0.03  0.01],[-0.21  0.6 ],[0.04 0.04],[0.76 0.36],0.31371462,LPE10885_2023_10_20_7_0387
Dataset 05,2652,[-0.12  0.61],"[[-0.11 -0.02]
 [ 0.06  0.  ]]",[0.7  0.35],"[[0.1  0.03]
 [0.07 0.04]]",[-0.98  0.93],[-0.49  0.54],[1. 1.],[0.34 0.58],[-0.47  0.03],"[[-0.23 -0.02]
 [ 0.03 -0.05]]","[[-0.19 -0.07]
 [ 0.07  0.04]]","[[-0.01 -0.  ]
 [ 0.01 -0.02]]","[[-0.13  0.01]
 [ 0.18  0.05]]","[[ 0.01  0.  ]
 [-0.01 -0.  ]]",[-0.05 -0.05],[-1.03  0.88],[ 0.05 -0.05],[-0.44  0.49],[ 0.05 -0.04],[1.05 0.96],[0.05 0.05],[0.4  0.63],[-0.05 -0.04],[-0.51 -0.02],[ 0.01 -0.03],[-0.11  0.59],[0.05 0.04],[0.74 0.35],0.27636316,LPE10885_2023_10_20_7_0388
Dataset 05,2653,[-0.15  0.71],"[[ 0.    0.05]
 [ 0.01 -0.  ]]",[0.73 0.24],"[[0.12 0.11]
 [0.11 0.09]]",[-1.    0.99],[-0.51  0.57],[1. 1.],[0.36 0.63],[-0.62  0.38],"[[ 0.13  0.07]
 [ 0.12 -0.16]]","[[-0.22  0.27]
 [ 0.08  0.13]]","[[-0.01 -0.01]
 [ 0.    0.  ]]","[[ 0.09 -0.06]
 [-0.18  0.01]]","[[ 0.01 -0.  ]
 [ 0.   -0.  ]]",[-0.05  0.05],[-1.05  1.04],[0.04 0.02],[-0.47  0.59],[-0.05  0.05],[0.95 1.05],[0.05 0.02],[0.41 0.65],[ 0.05 -0.03],[-0.57  0.35],[0.01 0.02],[-0.15  0.74],[0.05 0.03],[0.72 0.27],0.47279212,LPE10885_2023_10_20_7_0389
Dataset 05,2654,[-0.13  0.61],"[[-0.04 -0.03]
 [ 0.01  0.02]]",[0.71 0.35],"[[0.08 0.09]
 [0.17 0.03]]",[-0.98  0.93],[-0.49  0.54],[1. 1.],[0.35 0.59],[-0.51  0.01],"[[0.04 0.04]
 [0.17 0.07]]","[[-0.04 -0.2 ]
 [-0.27  0.04]]","[[-0.    0.  ]
 [-0.01  0.02]]","[[-0.19  0.03]
 [ 0.18 -0.03]]","[[-0.01 -0.01]
 [ 0.    0.01]]",[0.   0.05],[-0.98  0.98],[-0.05  0.04],[-0.54  0.58],[ 0.04 -0.05],[1.04 0.95],[0.03 0.04],[0.38 0.63],[ 0.04 -0.05],[-0.47 -0.05],[0.01 0.01],[-0.12  0.62],[0.03 0.05],[0.73 0.37],0.40909877,LPE10885_2023_10_20_7_0390
Dataset 05,2655,[-0.22  0.63],"[[ 0.01  0.01]
 [ 0.   -0.01]]",[0.78 0.31],"[[0.05 0.03]
 [0.03 0.03]]",[-0.94  0.85],[-0.5   0.57],[1. 1.],[0.36 0.63],[-1.    0.08],"[[-0.04  0.05]
 [ 0.01  0.02]]","[[ 0.11 -0.02]
 [-0.04 -0.  ]]","[[ 0.   -0.01]
 [ 0.   -0.  ]]","[[-0.04  0.04]
 [ 0.05 -0.06]]","[[ 0.    0.  ]
 [-0.01 -0.01]]",[-0.    0.05],[-0.95  0.9 ],[0.03 0.01],[-0.48  0.58],[-0.04  0.05],[0.96 1.05],[0.03 0.05],[0.38 0.68],[-0.05  0.01],[-1.05  0.09],[-0.01  0.04],[-0.23  0.66],[0.03 0.02],[0.78 0.33],0.22545724,LPE10885_2023_10_20_7_0391
Dataset 05,2656,[-0.2   0.59],"[[ 0.01  0.03]
 [-0.02 -0.05]]",[0.76 0.32],"[[0.03 0.03]
 [0.02 0.06]]",[-0.86  0.76],[-0.5   0.56],[1. 1.],[0.35 0.59],[-1.    0.04],"[[-0.04  0.05]
 [-0.06 -0.16]]","[[ 0.03  0.08]
 [-0.02 -0.04]]","[[ 0.01 -0.01]
 [-0.01  0.01]]","[[ 0.05  0.  ]
 [ 0.   -0.06]]","[[ 0.01  0.01]
 [ 0.   -0.01]]",[-0.04  0.05],[-0.91  0.81],[-0.04 -0.04],[-0.54  0.52],[-0.04 -0.01],[0.96 0.99],[0.02 0.04],[0.37 0.63],[0.05 0.01],[-0.95  0.05],[-0.01  0.01],[-0.21  0.6 ],[0.04 0.03],[0.75 0.32],0.28104144,LPE10885_2023_10_20_7_0392
Dataset 05,2657,[-0.18  0.61],"[[-0.01  0.06]
 [ 0.07  0.04]]",[0.75 0.4 ],"[[0.11 0.08]
 [0.07 0.06]]",[-0.99  0.96],[-0.51  0.58],[1. 1.],[0.36 0.63],[-0.74 -0.11],"[[-0.04  0.03]
 [ 0.09  0.07]]","[[0.18 0.2 ]
 [0.18 0.13]]","[[-0.01 -0.02]
 [-0.   -0.02]]","[[-0.18  0.08]
 [ 0.1  -0.  ]]","[[-0.01  0.  ]
 [-0.    0.01]]",[-0.05  0.05],[-1.04  1.01],[-0.04  0.  ],[-0.55  0.58],[ 0.04 -0.05],[1.04 0.95],[0.02 0.03],[0.38 0.67],[-0.01  0.03],[-0.75 -0.08],[-0.01  0.01],[-0.19  0.63],[0.04 0.04],[0.78 0.39],0.19117752,LPE10885_2023_10_20_7_0394
Dataset 05,2658,[-0.15  0.62],"[[-0.02 -0.08]
 [ 0.   -0.09]]",[0.72 0.3 ],"[[0.04 0.09]
 [0.03 0.11]]",[-0.96  0.89],[-0.47  0.5 ],[1. 1.],[0.35 0.57],[-0.66  0.15],"[[ 0.01 -0.2 ]
 [ 0.04 -0.07]]","[[-0.09 -0.17]
 [-0.04 -0.29]]","[[ 0.  0.]
 [-0. -0.]]","[[-0.04 -0.06]
 [ 0.02 -0.07]]","[[-0.01  0.  ]
 [ 0.    0.  ]]",[-0.05  0.05],[-1.02  0.94],[-0.05 -0.02],[-0.52  0.48],[-0.02  0.02],[0.98 1.02],[-0.04 -0.01],[0.3  0.56],[-0.03  0.02],[-0.69  0.17],[-0.04  0.01],[-0.19  0.63],[0.01 0.03],[0.73 0.31],0.68298143,LPE10885_2023_10_20_7_0396
Dataset 05,2659,[-0.19  0.61],"[[0.07 0.04]
 [0.05 0.05]]",[0.75 0.41],"[[0.07 0.05]
 [0.13 0.07]]",[-0.99  0.97],[-0.52  0.59],[1. 1.],[0.37 0.64],[-0.78 -0.13],"[[0.19 0.14]
 [0.22 0.18]]","[[0.05 0.06]
 [0.14 0.01]]","[[-0.    0.  ]
 [ 0.04  0.03]]","[[ 0.12 -0.02]
 [-0.15  0.02]]","[[-0.    0.01]
 [ 0.   -0.  ]]",[-0.05  0.05],[-1.05  1.02],[-0.03 -0.02],[-0.55  0.57],[-0.05 -0.05],[0.95 0.95],[0.05 0.05],[0.42 0.69],[-0.04  0.02],[-0.82 -0.11],[-0.02  0.01],[-0.21  0.62],[0.04 0.04],[0.76 0.4 ],0.3755531,LPE10885_2023_10_20_7_0397
Dataset 05,2660,[-0.15  0.69],"[[-0.02  0.02]
 [ 0.04 -0.06]]",[0.72 0.26],"[[0.06 0.04]
 [0.06 0.07]]",[-1.    0.98],[-0.49  0.54],[1. 1.],[0.35 0.6 ],[-0.59  0.33],"[[ 0.04  0.  ]
 [ 0.15 -0.06]]","[[-0.01 -0.01]
 [ 0.   -0.07]]","[[ 0.   -0.01]
 [ 0.    0.  ]]","[[-0.14  0.11]
 [ 0.05 -0.18]]","[[-0. -0.]
 [-0.  0.]]",[-0.05  0.05],[-1.05  1.03],[ 0.05 -0.03],[-0.44  0.51],[0.03 0.05],[1.03 1.05],[-0.04 -0.05],[0.32 0.55],[-0.03  0.03],[-0.62  0.36],[-0.01  0.01],[-0.15  0.7 ],[0.04 0.04],[0.74 0.28],0.4188874,LPE10885_2023_10_20_7_0398
Dataset 05,2661,[-0.09  0.63],"[[0.04 0.01]
 [0.02 0.05]]",[0.69 0.3 ],"[[0.05 0.13]
 [0.03 0.09]]",[-0.98  0.91],[-0.47  0.5 ],[1. 1.],[0.34 0.56],[-0.35  0.17],"[[ 0.13 -0.15]
 [ 0.08  0.02]]","[[0.06 0.25]
 [0.03 0.22]]","[[ 0.    0.  ]
 [-0.   -0.01]]","[[ 0.03 -0.06]
 [-0.01  0.02]]","[[ 0.   -0.01]
 [ 0.   -0.  ]]",[-0.02  0.05],[-0.99  0.96],[0.04 0.05],[-0.44  0.55],[ 0.05 -0.03],[1.05 0.97],[-0.03 -0.01],[0.31 0.55],[-0.02  0.03],[-0.37  0.21],[0.   0.02],[-0.09  0.65],[0.03 0.03],[0.7  0.29],0.5076774,LPE10885_2023_10_20_7_0401
Dataset 05,2662,[-0.12  0.7 ],"[[0.04 0.01]
 [0.04 0.02]]",[0.71 0.25],"[[0.04 0.02]
 [0.06 0.08]]",[-1.    0.99],[-0.5   0.56],[1. 1.],[0.35 0.6 ],[-0.47  0.37],"[[ 0.11 -0.01]
 [-0.03  0.05]]","[[0.04 0.06]
 [0.13 0.14]]","[[ 0.01 -0.  ]
 [-0.   -0.  ]]","[[ 0.02  0.  ]
 [ 0.1  -0.09]]","[[ 0.    0.01]
 [-0.    0.  ]]",[-0.05  0.04],[-1.05  1.03],[-0.04  0.04],[-0.54  0.6 ],[0.03 0.05],[1.03 1.05],[0.05 0.03],[0.4  0.64],[0.03 0.01],[-0.43  0.37],[0.01 0.03],[-0.12  0.74],[0.04 0.01],[0.74 0.26],0.43473595,LPE10885_2023_10_20_7_0402
Dataset 05,2663,[-0.15  0.65],"[[ 0.04  0.03]
 [-0.02  0.  ]]",[0.72 0.28],"[[0.09 0.1 ]
 [0.06 0.02]]",[-0.99  0.94],[-0.48  0.51],[1. 1.],[0.35 0.58],[-0.62  0.24],"[[-0.09 -0.12]
 [-0.03  0.03]]","[[0.16 0.16]
 [0.04 0.02]]","[[-0.    0.  ]
 [-0.   -0.01]]","[[ 0.12  0.11]
 [-0.13 -0.02]]","[[ 0. -0.]
 [ 0. -0.]]",[-0.04 -0.03],[-1.03  0.91],[0.02 0.05],[-0.46  0.56],[-0.05  0.01],[0.95 1.01],[0.05 0.05],[0.4  0.63],[ 0.05 -0.03],[-0.56  0.21],[0.   0.01],[-0.14  0.66],[0.04 0.03],[0.71 0.28],0.33330208,LPE10885_2023_10_20_7_0403
Dataset 05,2664,[-0.22  0.64],"[[ 0.   -0.01]
 [-0.02  0.03]]",[0.78 0.32],"[[0.08 0.05]
 [0.07 0.11]]",[-0.98  0.92],[-0.49  0.54],[1. 1.],[0.36 0.63],[-0.98  0.1 ],"[[-0.03 -0.05]
 [-0.15  0.16]]","[[ 0.14 -0.08]
 [-0.04  0.14]]","[[ 0.    0.  ]
 [-0.01 -0.01]]","[[-0.09  0.07]
 [ 0.07 -0.15]]","[[ 0.    0.01]
 [ 0.   -0.  ]]",[-0.04 -0.  ],[-1.02  0.92],[ 0.05 -0.05],[-0.44  0.49],[ 0.03 -0.05],[1.03 0.95],[0.05 0.05],[0.41 0.67],[0.05 0.04],[-0.92  0.14],[ 0.03 -0.  ],[-0.19  0.63],[0.03 0.04],[0.79 0.3 ],0.34956473,LPE10885_2023_10_20_7_0404
