dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,single_trial_correlation,cell_id
,,[-0.17  0.18],"[[-0.02 -0.11]
 [-0.04 -0.03]]",[0.95 0.91],"[[0.07 0.1 ]
 [0.05 0.07]]",[-1. -1.],[0.99 0.99],[-0.93 -0.86],[1. 1.],[-0.92  0.75],"[[-0.13 -0.29]
 [ 0.02  0.03]]","[[ 0.06 -0.11]
 [-0.01 -0.13]]","[[-0.01 -0.01]
 [-0.03 -0.02]]","[[ 0.05 -0.1 ]
 [-0.03 -0.05]]","[[-0.08 -0.03]
 [-0.14  0.05]]",,
,,[-0.17  0.17],"[[-0.08  0.03]
 [ 0.01  0.02]]",[0.95 0.9 ],"[[0.08 0.13]
 [0.05 0.05]]",[-1. -1.],[0.99 0.99],[-0.92 -0.84],[1. 1.],[-0.9   0.71],"[[-0.18  0.23]
 [ 0.02 -0.02]]","[[-0.02 -0.02]
 [ 0.03 -0.01]]","[[-0.17 -0.17]
 [ 0.02  0.04]]","[[0.01 0.12]
 [0.08 0.11]]","[[-0.01  0.01]
 [-0.08 -0.  ]]",,
,,[-0.17  0.18],"[[-0.03 -0.04]
 [-0.   -0.01]]",[0.95 0.91],"[[0.06 0.12]
 [0.09 0.1 ]]",[-1. -1.],[0.99 0.99],[-0.93 -0.85],[1. 1.],[-0.93  0.76],"[[ 0.02 -0.18]
 [-0.02  0.01]]","[[-0.01  0.08]
 [ 0.06 -0.09]]","[[-0.06 -0.09]
 [ 0.09  0.12]]","[[-0.13 -0.15]
 [ 0.03 -0.16]]","[[ 0.02  0.12]
 [-0.17  0.08]]",,
,,[-0.17  0.18],"[[-0.03 -0.03]
 [ 0.07  0.01]]",[0.95 0.91],"[[0.05 0.19]
 [0.16 0.15]]",[-1. -1.],[0.99 0.99],[-0.92 -0.84],[1. 1.],[-0.93  0.77],"[[-0.11 -0.4 ]
 [-0.04  0.23]]","[[-0.05  0.08]
 [ 0.24  0.1 ]]","[[-0.05  0.02]
 [-0.18 -0.06]]","[[ 0.03  0.09]
 [ 0.2  -0.22]]","[[0.02 0.06]
 [0.12 0.01]]",,
,,[-0.18  0.19],"[[ 0.02  0.02]
 [-0.02  0.07]]",[0.95 0.91],"[[0.06 0.07]
 [0.03 0.06]]",[-1. -1.],[0.97 0.98],[-0.92 -0.84],[1. 1.],[-0.95  0.8 ],"[[ 0.03  0.09]
 [-0.06  0.04]]","[[ 0.09 -0.09]
 [ 0.01 -0.01]]","[[ 0.04  0.08]
 [-0.03  0.12]]","[[ 0.01 -0.03]
 [ 0.01  0.15]]","[[-0.09  0.07]
 [-0.04  0.03]]",,
,,[-0.18  0.2 ],"[[-0.01 -0.01]
 [ 0.02 -0.01]]",[0.96 0.92],"[[0.1  0.08]
 [0.08 0.04]]",[-1. -1.],[0.98 0.98],[-0.92 -0.85],[1. 1.],[-0.97  0.87],"[[ 0.16  0.01]
 [-0.05  0.  ]]","[[ 0.02 -0.01]
 [ 0.07  0.01]]","[[-0.11  0.08]
 [-0.06  0.  ]]","[[-0.05  0.02]
 [-0.03  0.03]]","[[-0.08 -0.15]
 [ 0.15 -0.08]]",,
,,[-0.18  0.19],"[[-0.03  0.01]
 [ 0.04 -0.01]]",[0.95 0.91],"[[0.07 0.09]
 [0.08 0.12]]",[-1. -1.],[0.98 0.98],[-0.91 -0.83],[1. 1.],[-0.96  0.82],"[[-0.16  0.09]
 [ 0.1   0.07]]","[[ 0.    0.08]
 [-0.04 -0.11]]","[[0.01 0.04]
 [0.16 0.08]]","[[-0.07 -0.03]
 [-0.01 -0.19]]","[[ 0.04 -0.15]
 [-0.03  0.13]]",,
,,[-0.18  0.2 ],"[[-0.07  0.03]
 [ 0.04 -0.06]]",[0.96 0.92],"[[0.1  0.09]
 [0.05 0.09]]",[-1. -1.],[0.99 0.99],[-0.92 -0.84],[1. 1.],[-0.96  0.83],"[[-0.07  0.15]
 [ 0.06 -0.09]]","[[0.1  0.05]
 [0.   0.08]]","[[-0.02  0.09]
 [ 0.07 -0.1 ]]","[[-0.19 -0.08]
 [-0.04 -0.01]]","[[-0.16 -0.06]
 [ 0.09 -0.19]]",,
,,[-0.17  0.18],"[[-0.04  0.04]
 [ 0.06  0.06]]",[0.95 0.9 ],"[[0.1  0.13]
 [0.04 0.11]]",[-1. -1.],[0.98 0.98],[-0.91 -0.83],[1. 1.],[-0.93  0.77],"[[-0.06 -0.15]
 [ 0.02  0.08]]","[[-0.18 -0.06]
 [ 0.08  0.1 ]]","[[0.03 0.12]
 [0.01 0.09]]","[[-0.11  0.19]
 [ 0.1   0.19]]","[[ 0.1   0.12]
 [ 0.1  -0.14]]",,
,,[-0.18  0.19],"[[ 0.04  0.04]
 [-0.04  0.03]]",[0.96 0.92],"[[0.09 0.05]
 [0.06 0.02]]",[-1. -1.],[0.99 0.99],[-0.94 -0.86],[1. 1.],[-0.96  0.84],"[[ 0.16 -0.01]
 [-0.12  0.01]]","[[ 0.08  0.04]
 [-0.04  0.03]]","[[0.08 0.03]
 [0.05 0.06]]","[[-0.03  0.13]
 [-0.01 -0.01]]","[[-0.1   0.02]
 [-0.08  0.04]]",,
